Name,Type,Location,Steps,Description
Calibrate Distributor,Short,Electrical,1,Press the button below the meter in time to that the spinning black node connects with the device
Clean Toilet,Short,Lounge,1,Move the plunger up and down until the pressure reaches the maximum
Decontaminate,Short,Main Hall,1,Wait until the percentage has reached 0%
Develop Photos,Short,Main Hall,1,"Drag the three photos and place them in the water, using the green dot as a guide. After the countdown ends, drag each of the three photos out of the water"
Divert Power,Long,"(1) Electrical\n(2) Armory, Cockpit, Engine Room, Meeting Room, Showers",2,(1) Pull up the glowing lever on the device\n(2) Flip the switch in the center of the panel
Dress Mannequin,Short,Vault,1,"Select the hat, eyewear, and clothing article seen in the picture above"
Empty Garbage,Long,"(1) Kitchen, Main Hall, Medical\n(2) Meeting Room",2,(1) Pull the garbage bag out of the bin\n(2) Pull and hold the lever
Enter ID Code,Common,Meeting Room,1,Take the ID out of the wallet and type the ID code into the screen
Fix Shower,Short,Showers,1,Hold the showerhead to use the mallet to re-align the showerhead
Fix Wiring,Common,"Cargo Bay, Cells, Engine Room, Hallway, Lounge, Main Hall, Meeting Room",3,(1-3) Connect wires of the same color
Fuel Engines,Long,"(1, 3) Cargo Bay\n(2, 4) Engine Room",4,"(1, 3) Fill the gas container by pressing and holding the button\n(2, 4) Fill the gas tank by pressing and holding the button"
Make Burger,Short,Kitchen,1,"Memorize the composition of the burger, as shown on the recipe, then place the ingredients in the correct order"
Pick Up Towels,Short,Showers,2,(1) Pick up each towel\n(2) Put each towel in the basket
Polish Ruby,Short,Vault,1,Use the cloth to clear the smudges on the ruby
Put Away Pistols,Short,Armory,1,Drag the four pistols and place them in the outlines
Put Away Rifles,Short,Armory,1,Drag the two rifles and place them in the outlines
Reset Breakers,Long,Electrical,7,"(1-7) Pull the lever down in order, based on the number of the breaker"
Rewind Tapes,Short,Security,1,"Press the rewind, pause, play, and fast-forward buttons until the time of the recorder matches the time on the note"
Sort Records,Long,Records,4,(1-4) Click on the file then place the file in the appropriate area
Stabilitze Steering,Short,Cockpit,1,Move the cursor to the center
Start Fans,Long,(1) Ventilation(W)\n(2) Ventilation (E),2,(1) Click 'Reveal Code' and remember the code\n(2) Click 'Enter Code' and enter the code
Unlock Safe,Short,Cargo Bay,1,"Use the paper to turn the dial to the correct numbers and in the correct direction, then rotate the wheel"
Upload Data,Short,"(1) Armory, Brig, Cargo Bay, Cockpit, Gap Room, Records, Vault\n(2) Security (Outside), Viewing Deck (Outside)",2,(1) Press the 'Download' button\n(2) Move the device until the connection reads PERFECT Then wait for the data to upload
